environment,input_url,normalized_input,final_verdict,final_probability,cnn_probability,lightgbm_probability,reference_ensemble_probability,production_ensemble_probability,model_version,http_status
deployed-pre-fix,https://github.com/,https://github.com,LEGITIMATE,0.0007306471288833527,3.2494856885193376e-06,0.014551202349585186,0.005822430631247186,0.0007306471288833527,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://www.wikipedia.org,https://www.wikipedia.org,LEGITIMATE,0.045850302671754814,0.04699493565952379,0.02410227590414428,0.03783787175737199,0.045850302671754814,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://www.wikipedia.org/,https://www.wikipedia.org,LEGITIMATE,0.045850302671754814,0.04699493565952379,0.02410227590414428,0.03783787175737199,0.045850302671754814,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://www.microsoft.com,https://www.microsoft.com,LEGITIMATE,0.03185819199566801,0.027653430334443348,0.11174866355893655,0.06129152362424063,0.03185819199566801,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://www.microsoft.com/,https://www.microsoft.com,LEGITIMATE,0.03185819199566801,0.027653430334443348,0.11174866355893655,0.06129152362424063,0.03185819199566801,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://www.apple.com,https://www.apple.com,LEGITIMATE,0.2744963106088034,0.2881727397350757,0.014644157209630693,0.17876130672489768,0.2744963106088034,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://www.apple.com/,https://www.apple.com,LEGITIMATE,0.2744963106088034,0.2881727397350757,0.014644157209630693,0.17876130672489768,0.2744963106088034,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://openai.com,https://openai.com,LEGITIMATE,0.000730011823686938,1.9236238638688283e-06,0.01456368762032525,0.005826629222448422,0.000730011823686938,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://openai.com/,https://openai.com,LEGITIMATE,0.000730011823686938,1.9236238638688283e-06,0.01456368762032525,0.005826629222448422,0.000730011823686938,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://vercel.com,https://vercel.com,LEGITIMATE,0.0007290133226943924,7.78948721003803e-06,0.014432266196897124,0.005777580171084873,0.0007290133226943924,url-ensemble-original-1.0 / ONNX selected-95-5,200
deployed-pre-fix,https://vercel.com/,https://vercel.com,LEGITIMATE,0.0007290133226943924,7.78948721003803e-06,0.014432266196897124,0.005777580171084873,0.0007290133226943924,url-ensemble-original-1.0 / ONNX selected-95-5,200
