model,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate
Calibrated LightGBM,0.9959979989994997,0.9974861739567622,0.9944862155388471,0.9959839357429718,0.9985106300449075,0.9990779588491084,1998,5,11,1984,0.0024962556165751375,0.005513784461152882
Char-CNN,0.9952476238119059,1.0,0.9904761904761905,0.9952153110047847,0.9994481961268623,0.9995527100639789,2003,0,19,1976,0.0,0.009523809523809525
Reference Ensemble 0.60/0.40,0.9957478739369685,0.9994949494949495,0.9919799498746867,0.9957232704402516,0.9989166626000848,0.9992818926814653,2002,1,16,1979,0.0004992511233150275,0.008020050125313283
Selected Ensemble 0.95/0.05,0.9952476238119059,1.0,0.9904761904761905,0.9952153110047847,0.9993118092285131,0.9994790970562641,2003,0,19,1976,0.0,0.009523809523809525
